,회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
211,유안타제5호스팩,336060,금융 지원 서비스업,금융 지원 서비스,2019-11-28,12월,조수봉,,서울특별시
212,유안타제7호스팩,367460,금융 지원 서비스업,금융지원 서비스,2020-12-28,12월,임율표,,서울특별시
213,유테크,178780,상품 종합 도매업,"도광판, 몰드프레임",2015-06-30,12월,이정태,http://www.u-tech.co.kr,경기도
214,유티아이,179900,전자부품 제조업,카메라 윈도우,2017-09-27,12월,박덕영,http://www.utikorea.com,충청남도
215,이베스트스팩5호,349720,금융 지원 서비스업,해당없음,2020-05-20,12월,고병학,,서울특별시
216,이스트소프트,047560,소프트웨어 개발 및 공급업,"온라인게임(카발온라인),알툴즈S/W,스토리지S/W",2008-07-01,12월,정상원,,서울특별시
217,이엠넷,123570,광고업,온라인 검색광고 대행,2011-11-25,12월,김영원,http://www.emnet.co.kr,서울특별시
218,이지바이오,353810,동물용 사료 및 조제식품 제조업,"자돈사료, 사료첨가제",2020-06-05,12월,"김지범, 황일환",http://www.easybio.co.kr/,서울특별시
219,인텍플러스,064290,특수 목적용 기계 제조업,"LED 외관검사장비, 반도체 외관검사장비, 태양전지 외관검사장비등",2011-01-05,12월,이상윤,http://www.intekplus.com,대전광역시
220,인포바인,115310,전기 통신업,휴대폰인증서보관서비스(UBIKey),2010-02-09,12월,권 성 준,http://www.infovine.co.kr,서울특별시
221,일승,333430,선박 및 보트 건조업,환경장비,2019-11-06,12월,손지익,http://ilseung.co.kr,부산광역시
222,잉크테크,049550,기타 화학제품 제조업,"잉크젯프린터용 잉크카트리지, 재충전 잉크",2002-02-28,12월,"정광춘, 양종상(각자 대표)",http://kr.inktec.com,경기도
223,자비스,254120,특수 목적용 기계 제조업,자동엑스레이검사장비,2016-12-02,12월,김형철,http://www.xavis.co.kr,경기도
224,자이글,234920,가정용 기기 제조업,적외선 가열 조리기,2016-09-06,12월,이진희,http://www.zaigle.com,서울특별시
225,정상제이엘에스,040420,일반 교습 학원,어학교육업,2000-08-01,12월,박정흠,http://www.gojls.com,서울특별시
226,제우스,079370,특수 목적용 기계 제조업,LCD제조용장비,2006-02-01,12월,이종우,http://www.globalzeus.com,경기도
227,제이씨케미칼,137950,기타 화학제품 제조업,"바이오디젤, 바이오중유 등",2011-08-08,12월,"윤사호, 이종응",http://www.jcchemical.co.kr,울산광역시
228,제이씨현시스템,033320,기계장비 및 관련 물품 도매업,"메인보드, 그래픽카드",1997-11-10,12월,차중석,http://www.jchyun.com,서울특별시
229,제이엘케이,322510,소프트웨어 개발 및 공급업,"인공지능 기반 의료영상 진단 플랫폼, 인공지능 기반 산업용 X-ray 판독시스템",2019-12-11,12월,김동민,http://jlkgroup.com,충청북도
230,제이엠티,094970,전자부품 제조업,LCD패널용PBA,2007-10-12,12월,"정수연, 정도연(각자대표)",,경기도
231,제주반도체,080220,반도체 제조업,"모바일용 LP DDR SDRAM, CRAM, SRAM",2005-02-01,12월,"박성식, 조형섭(각자 대표)",http://www.jeju-semi.com,제주특별자치도
232,조아제약,034940,의약품 제조업,"의약품,의약부외품,보건보조식품,위생용품의제조판매",1999-08-13,12월,"조성환, 조성배(각자대표)",http://www.choa.co.kr,서울특별시
233,주성엔지니어링,036930,특수 목적용 기계 제조업,LP CVD,1999-12-24,12월,황철주,http://www.jseng.com,경기도
234,지니언스,263860,소프트웨어 개발 및 공급업,"네트워크 접근 제어 솔루션(NAC), 단말기반 지능형 위협 탐지 대응 솔루션(EDR)",2017-08-02,12월,이동범,http://www.genians.co.kr/,경기도
235,지더블유바이텍,036180,기계장비 및 관련 물품 도매업,"무선통신,방송및응용장치제조업",1999-12-21,12월,"양재원, 오성록(각자대표)",http://www.younginfrontier.com,서울특별시
236,지엔씨에너지,119850,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","비상발전기, 소형열병합발전설비, 바이오가스발전설비",2013-10-02,12월,안병철,http://www.gncenergy.co.kr,서울특별시
237,초록뱀컴퍼니,052300,기타 운송관련 서비스업,운송,2001-08-02,12월,최진욱,http://www.chorokbaemcompany.com,서울특별시
238,캐스텍코리아,071850,자동차 신품 부품 제조업,자동차용 터보차저 부품,2014-05-27,12월,윤상원,http://www.castec.co.kr,부산광역시
239,케이비제20호스팩,342550,금융 지원 서비스업,금융지원서비스,2020-01-30,12월,황정현,,서울특별시
240,케이프이에스제4호,347140,기타 금융업,기타금융지원서비스업,2020-03-24,12월,윤종연,,서울특별시
241,케이피엠테크,042040,기타 화학제품 제조업,"표면처리약품, 전자동 도금설비",2003-01-07,12월,김지훈,http://www.kpmtech.co.kr,경기도
242,케이피티유,054410,기타 금속 가공제품 제조업,"Vacuum Treatment, Plasma Surface Treatment",2002-04-25,12월,박준영,http://www.kpt4u.com,경기도
243,켄코아에어로스페이스,274090,"항공기,우주선 및 부품 제조업",항공가공품 및 조립품,2020-03-03,12월,케네스민규리,http://www.kencoa.com,경상남도
244,코스나인,082660,기타 화학제품 제조업,화장품,2005-10-05,12월,"백광열, 최영권 (각자대표)",http://cosnine.com,경기도
245,코스온,069110,기타 화학제품 제조업,화장품,2003-10-14,12월,이동건,http://coson.co.kr,서울특별시
246,코오롱생명과학,102940,기초 의약물질 및 생물학적 제제 제조업,"항균제, 수처리제, 원료의약 등",2009-04-07,12월,이우석,,서울특별시
247,코퍼스코리아,322780,"영화, 비디오물, 방송프로그램 제작 및 배급업",콘텐츠 배급 및 제작,2019-05-31,12월,오영섭,,서울특별시
248,크로바하이텍,043590,반도체 제조업,"DRIVER-IC,DDI Package,트랜스포머,코일",2001-12-20,12월,"안호철, 김준목 (각자대표이사)",http://www.cloverhitech.com,경기도
249,키네마스터,139670,소프트웨어 개발 및 공급업,"NexMFW, NexPlayer EMB",2011-12-02,12월,임일택,http://www.kinemastercorp.com,서울특별시
250,테스나,131970,"그외 기타 전문, 과학 및 기술 서비스업",반도체 테스트,2013-10-22,12월,이종도,http://www.tesna.co.kr,경기도
251,텔콘RF제약,200230,통신 및 방송 장비 제조업,"RF 통신부품(케이블 어셈블리, 커넥터 등)",2014-11-24,12월,김지훈,http://www.telcon.co.kr,경기도
252,토탈소프트,045340,소프트웨어 개발 및 공급업,해운물류소프트웨어 (CATOS 등),2002-07-19,12월,최장수,http://www.tsb.co.kr,부산광역시
253,트루윈,105550,전자부품 제조업,"자동차용 센서(APS, TPS, IAPS, SLS)",2014-07-11,12월,남용현,http://www.truwin.co.kr,대전광역시
254,특수건설,026150,토목 건설업,보링,1997-08-06,12월,"김중헌, 김도헌 (각자 대표이사)",http://www.tuksu.co.kr,서울특별시
