042040	20201014	6650.0, 7460.0, 4460.0, 4460.0, 814557121960.0, 4430.0, 4835.0, 3800.0, 4290.0, 760794181290.0, 4370.0, 4480.0, 3935.0, 4040.0, 275440441080.0, 4090.0, 4210.0, 3865.0, 4040.0, 135435994440.0, 4265.0, 4350.0, 3935.0, 4065.0, 157481555250.0, 4130.0, 4135.0, 3970.0, 4030.0, 69359479670.0, 4010.0, 4080.0, 3850.0, 3955.0, 71513669290.0, 3860.0, 4025.0, 3680.0, 3915.0, 100265976630.0, 3800.0, 4160.0, 3730.0, 4160.0, 184787828160.0, 4080.0, 5190.0, 3980.0, 5190.0, 1368703369410.0	0
200230	20200924	5310.0, 5380.0, 5210.0, 5350.0, 7884246850.0, 5370.0, 5600.0, 5370.0, 5520.0, 15643795920.0, 5530.0, 6700.0, 5420.0, 6050.0, 423005563750.0, 6340.0, 7790.0, 5810.0, 7380.0, 784999707120.0, 7080.0, 7920.0, 6510.0, 6740.0, 714969676380.0, 6880.0, 7100.0, 6530.0, 6600.0, 123909700200.0, 6810.0, 7700.0, 6670.0, 7130.0, 498308220630.0, 7260.0, 7550.0, 7010.0, 7470.0, 305307669780.0, 8450.0, 9710.0, 8310.0, 9710.0, 804870299150.0, 9500.0, 12250.0, 9010.0, 9990.0, 1668285344700.0	0
052260	20200519	25600.0, 31400.0, 25150.0, 28750.0, 694709796250.0, 29150.0, 29400.0, 27200.0, 27850.0, 136044520700.0, 27400.0, 28700.0, 27250.0, 27800.0, 86869328800.0, 28150.0, 31550.0, 27850.0, 29450.0, 407392805400.0, 30000.0, 30800.0, 28900.0, 29500.0, 91468585000.0, 29600.0, 30350.0, 29050.0, 30000.0, 62817630000.0, 29450.0, 31100.0, 29400.0, 30650.0, 106961327900.0, 31200.0, 31850.0, 28900.0, 29600.0, 112011787200.0, 29900.0, 38450.0, 29550.0, 38450.0, 588371358700.0, 38600.0, 48850.0, 34800.0, 40300.0, 1774549969400.0	1
019170	20200707	29850.0, 30800.0, 29000.0, 29000.0, 82188001000.0, 28550.0, 30700.0, 28500.0, 29000.0, 76129350000.0, 29500.0, 29550.0, 27700.0, 28950.0, 51209626050.0, 29200.0, 29700.0, 28700.0, 28700.0, 32976960100.0, 28700.0, 33650.0, 27350.0, 30200.0, 363697150400.0, 30400.0, 31150.0, 29150.0, 29250.0, 86502487500.0, 29300.0, 29850.0, 28900.0, 29300.0, 41896421600.0, 29300.0, 31300.0, 28900.0, 29550.0, 103601088450.0, 30100.0, 32000.0, 29750.0, 31050.0, 159875394300.0, 31400.0, 39700.0, 31050.0, 37950.0, 1089774932400.0	1
019170	20200710	29200.0, 29700.0, 28700.0, 28700.0, 32976960100.0, 28700.0, 33650.0, 27350.0, 30200.0, 363697150400.0, 30400.0, 31150.0, 29150.0, 29250.0, 86502487500.0, 29300.0, 29850.0, 28900.0, 29300.0, 41896421600.0, 29300.0, 31300.0, 28900.0, 29550.0, 103601088450.0, 30100.0, 32000.0, 29750.0, 31050.0, 159875394300.0, 31400.0, 39700.0, 31050.0, 37950.0, 1089774932400.0, 39000.0, 44600.0, 38500.0, 39400.0, 618061968800.0, 40250.0, 42850.0, 39500.0, 41150.0, 331143926000.0, 42100.0, 52900.0, 40800.0, 48650.0, 1062156719750.0	1
019170	20200722	40250.0, 42850.0, 39500.0, 41150.0, 331143926000.0, 42100.0, 52900.0, 40800.0, 48650.0, 1062156719750.0, 51300.0, 60600.0, 50100.0, 60300.0, 793799812800.0, 58200.0, 72400.0, 55400.0, 62500.0, 660813687500.0, 67300.0, 70800.0, 56000.0, 62600.0, 503703951400.0, 61100.0, 65200.0, 59300.0, 63100.0, 289321198200.0, 65100.0, 75900.0, 63600.0, 73000.0, 755282382000.0, 80700.0, 94900.0, 78000.0, 94900.0, 824123747200.0, 0.0, 0.0, 0.0, 94900.0, 0.0, 111500.0, 123000.0, 95200.0, 123000.0, 1047121755000.0	0
019170	20200727	58200.0, 72400.0, 55400.0, 62500.0, 660813687500.0, 67300.0, 70800.0, 56000.0, 62600.0, 503703951400.0, 61100.0, 65200.0, 59300.0, 63100.0, 289321198200.0, 65100.0, 75900.0, 63600.0, 73000.0, 755282382000.0, 80700.0, 94900.0, 78000.0, 94900.0, 824123747200.0, 0.0, 0.0, 0.0, 94900.0, 0.0, 111500.0, 123000.0, 95200.0, 123000.0, 1047121755000.0, 0.0, 0.0, 0.0, 123000.0, 0.0, 139000.0, 159500.0, 105000.0, 105000.0, 756248430000.0, 100000.0, 103000.0, 73500.0, 73500.0, 1250572512000.0	0
019170	20200728	67300.0, 70800.0, 56000.0, 62600.0, 503703951400.0, 61100.0, 65200.0, 59300.0, 63100.0, 289321198200.0, 65100.0, 75900.0, 63600.0, 73000.0, 755282382000.0, 80700.0, 94900.0, 78000.0, 94900.0, 824123747200.0, 0.0, 0.0, 0.0, 94900.0, 0.0, 111500.0, 123000.0, 95200.0, 123000.0, 1047121755000.0, 0.0, 0.0, 0.0, 123000.0, 0.0, 139000.0, 159500.0, 105000.0, 105000.0, 756248430000.0, 100000.0, 103000.0, 73500.0, 73500.0, 1250572512000.0, 76500.0, 78900.0, 55000.0, 71600.0, 2604212359600.0	1
019170	20200729	61100.0, 65200.0, 59300.0, 63100.0, 289321198200.0, 65100.0, 75900.0, 63600.0, 73000.0, 755282382000.0, 80700.0, 94900.0, 78000.0, 94900.0, 824123747200.0, 0.0, 0.0, 0.0, 94900.0, 0.0, 111500.0, 123000.0, 95200.0, 123000.0, 1047121755000.0, 0.0, 0.0, 0.0, 123000.0, 0.0, 139000.0, 159500.0, 105000.0, 105000.0, 756248430000.0, 100000.0, 103000.0, 73500.0, 73500.0, 1250572512000.0, 76500.0, 78900.0, 55000.0, 71600.0, 2604212359600.0, 72400.0, 79000.0, 68700.0, 75000.0, 1002689925000.0	1
019170	20200730	65100.0, 75900.0, 63600.0, 73000.0, 755282382000.0, 80700.0, 94900.0, 78000.0, 94900.0, 824123747200.0, 0.0, 0.0, 0.0, 94900.0, 0.0, 111500.0, 123000.0, 95200.0, 123000.0, 1047121755000.0, 0.0, 0.0, 0.0, 123000.0, 0.0, 139000.0, 159500.0, 105000.0, 105000.0, 756248430000.0, 100000.0, 103000.0, 73500.0, 73500.0, 1250572512000.0, 76500.0, 78900.0, 55000.0, 71600.0, 2604212359600.0, 72400.0, 79000.0, 68700.0, 75000.0, 1002689925000.0, 80300.0, 89300.0, 76500.0, 86000.0, 1387639498000.0	0
