005930	2020-08-31 00:00:00
005930	2020-09-01 00:00:00
005930	2020-09-03 00:00:00
005930	2020-09-04 00:00:00
005930	2020-09-07 00:00:00
005930	2020-09-08 00:00:00
005930	2020-09-09 00:00:00
005930	2020-09-10 00:00:00
005930	2020-09-14 00:00:00
005930	2020-09-15 00:00:00
005930	2020-09-16 00:00:00
005930	2020-09-17 00:00:00
005930	2020-09-18 00:00:00
005930	2020-09-22 00:00:00
005930	2020-09-23 00:00:00
005930	2020-09-24 00:00:00
005930	2020-10-05 00:00:00
005930	2020-10-08 00:00:00
005930	2020-10-13 00:00:00
005930	2020-10-15 00:00:00
005930	2020-10-20 00:00:00
005930	2020-10-27 00:00:00
005930	2020-10-29 00:00:00
005930	2020-10-30 00:00:00
005930	2020-11-02 00:00:00
005930	2020-11-04 00:00:00
005930	2020-11-05 00:00:00
005930	2020-11-06 00:00:00
005930	2020-11-10 00:00:00
005930	2020-11-11 00:00:00
005930	2020-11-12 00:00:00
005930	2020-11-13 00:00:00
005930	2020-11-16 00:00:00
005930	2020-11-17 00:00:00
005930	2020-11-18 00:00:00
005930	2020-11-19 00:00:00
005930	2020-11-23 00:00:00
005930	2020-11-24 00:00:00
005930	2020-11-25 00:00:00
005930	2020-11-26 00:00:00
005930	2020-11-30 00:00:00
005930	2020-12-01 00:00:00
005930	2020-12-02 00:00:00
005930	2020-12-03 00:00:00
005930	2020-12-04 00:00:00
005930	2020-12-07 00:00:00
005930	2020-12-08 00:00:00
005930	2020-12-09 00:00:00
005930	2020-12-10 00:00:00
005930	2020-12-11 00:00:00
005930	2020-12-14 00:00:00
005930	2020-12-15 00:00:00
005930	2020-12-16 00:00:00
005930	2020-12-17 00:00:00
005930	2020-12-18 00:00:00
005930	2020-12-21 00:00:00
005930	2020-12-22 00:00:00
005930	2020-12-23 00:00:00
005930	2020-12-24 00:00:00
005930	2020-12-28 00:00:00
005930	2020-12-29 00:00:00
005930	2020-12-30 00:00:00
053030	2020-08-26 00:00:00
160600	2019-09-06 00:00:00
000660	2019-10-18 00:00:00
000660	2020-06-03 00:00:00
006280	2020-11-03 00:00:00
006280	2020-11-04 00:00:00
003000	2020-04-14 00:00:00
003000	2020-06-09 00:00:00
131370	2020-08-28 00:00:00
010140	2020-11-23 00:00:00
009830	2020-09-03 00:00:00
009830	2020-09-04 00:00:00
065450	2020-06-19 00:00:00
215600	2018-01-09 00:00:00
215600	2019-10-23 00:00:00
215600	2019-10-24 00:00:00
096530	2020-03-27 00:00:00
096530	2020-05-14 00:00:00
096530	2020-07-10 00:00:00
095700	2020-07-28 00:00:00
095700	2020-08-27 00:00:00
054780	2018-05-30 00:00:00
054780	2018-05-31 00:00:00
054780	2018-08-24 00:00:00
054780	2018-08-27 00:00:00
054780	2019-04-15 00:00:00
